339355 - Bechs ApS;;;;;;;;;;
Salg » Opsætning »;;;;;;;;;;
Varer;;;;;;;;;;
;;;;;;;;;;
Nr.;Navn;Gruppe;Salgspris;Kostpris;På lager;I ordre;Til rådighed;Bestilt;;
frpu5;Ch. Puech Haut Prestige Rouge 2009;11;105,00;0,00;0,00;0,00;0,00;0,00;;
frpu51;Ch. Puech Haut Prestige Rouge 2011;11;105,00;0,00;0,00;0,00;0,00;0,00;;
frpu53;Ch. Puech Haut Prestige Rouge 2012;11;105,00;7,84;-6,00;6,00;-12,00;0,00;;
frpu54;Ch. Puech Haut Prestige Rouge 2012;11;105,00;0,00;0,00;24,00;-24,00;60,00;;
frpu15;Ch. Puech Haut rød MG;11;180,00;0,00;0,00;0,00;0,00;0,00;;
frpu2;Ch. Puech Haut, Le 40'tieme;11;400,00;0,00;0,00;0,00;0,00;0,00;;
frpu58;Ch. Puech-Haut Bag n'Barrigue Rosé 3L.;18;200,00;0,00;0,00;0,00;0,00;0,00;;
frpu26;Ch. Puech-Haut Bosc Negre 2009;11;350,00;0,00;0,00;0,00;0,00;0,00;;
frpu27;Ch. Puech-Haut Cante Lebre 2009;11;350,00;0,00;0,00;0,00;0,00;0,00;;
frpu21;Ch. Puech-Haut Castelet 2012;11;0,00;35,71;175,00;6,00;169,00;0,00;;
frpu25;Ch. Puech-Haut Quercus 2009;11;350,00;0,00;0,00;0,00;0,00;0,00;;
frpu24;Ch. Puech-Haut Recantou 2009;11;350,00;0,00;0,00;0,00;0,00;0,00;;
frpu22;Ch. Puech-Haut Rosé Closerie du Pic 2014;11;90,00;0,00;0,00;12,00;-12,00;24,00;;
frpu36;Ch. Puech-Haut Tete de Belier Blanc 2013;11;170,00;96,71;42,00;0,00;42,00;0,00;;
frpu30;Ch. Puech-Haut Tete de Belier Rose 2013;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frpu47;Ch. Puech-Haut Tete de Belier Rose 2014;11;112,00;0,00;0,00;12,00;-12,00;24,00;;
frpu23;Ch. Puech-Haut Tete de Belier Rouge 2012;11;170,00;96,74;6,00;0,00;6,00;0,00;;
frpu48;Ch. Puech-Haut Tete de Belier Rouge 2013;11;170,00;0,00;0,00;0,00;0,00;60,00;;
frpu37;Ch. Puech-Haut Tete de Bellier Rouge 2008;11;170,00;96,72;104,00;0,00;104,00;0,00;;
frbo3;Ch. Reine Perganson 2009;11;54,00;22,50;204,00;24,00;180,00;0,00;;
frsi;Ch. Sigonac 2009;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frse30;Chablis 2012;11;120,00;0,00;0,00;0,00;0,00;0,00;;
frse2;Chablis 2013;11;125,00;81,85;18,00;18,00;0,00;0,00;;
frse3;Chablis Vallions 1. cru 2009;11;146,00;0,00;0,00;0,00;0,00;0,00;;
frse23;Chablis Vallions 1. cru 2011;11;155,00;93,12;61,00;0,00;61,00;0,00;;
øsmu8;Chardonnay Mugeln;11;75,00;0,00;0,00;0,00;0,00;120,00;;
frse13;Chassagne-Montrachet VV;11;220,00;138,40;48,00;0,00;48,00;0,00;;
frfo6;Chateu Agnel Cuvée Philippe 2010;11;52,00;0,00;0,00;0,00;0,00;0,00;;
itgr3;Chianti;11;0,00;62,00;0,00;0,00;0,00;0,00;;
itto20;Chianti Oracolo supertuscan;11;240,00;0,00;0,00;0,00;0,00;0,00;;
itdu8;CIFRA 2010;11;102,00;0,00;0,00;0,00;0,00;0,00;;
itfo2;Cimabianca Chardonnay/Sauvignon Bl. 2013;11;46,00;0,00;0,00;0,00;0,00;0,00;;
frcl;Clavel;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frcl5;Clavel Blanc;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frai4;Clos de l'Escandil;11;130,00;0,00;0,00;0,00;0,00;0,00;;
frpu9;Clos du Pic Rouge 2005;11;290,00;0,00;0,00;0,00;0,00;0,00;;
frea;"Clos Trias ""rød etiket""";11;70,00;0,00;0,00;0,00;0,00;0,00;;
frea3;Clos Trias Sort Pied Porcher;11;210,00;0,00;0,00;0,00;0,00;0,00;;
frea1;Clos Trias Vieilles Vignes;11;130,00;0,00;0,00;0,00;0,00;0,00;;
frea2;Clos Trias Vieilles Vignes II;11;150,00;0,00;0,00;0,00;0,00;0,00;;
frse20;Clos Vougeot Grand Cru;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frpu20;Coffret Parcelliares;11;0,00;1.094,48;0,00;0,00;0,00;0,00;;
frpu28;Coffret Parcelliares (6 fl) 2009;11;2.200,00;0,00;0,00;0,00;0,00;0,00;;
frpu29;Coffret Parcelliares (6 fl) 2011;11;2.200,00;0,00;0,00;0,00;0,00;0,00;;
frde14;Confit de Canard (12 stk);21;180,00;134,44;42,00;0,00;42,00;0,00;;
frde6;Confit de Canard (2 stk);21;55,00;40,75;136,00;24,00;112,00;0,00;;
frde7;Confit de Canard (4 stk);21;84,00;60,59;96,00;12,00;84,00;0,00;;
frco3;Conquette Blanc 2011;11;75,00;41,51;132,00;0,00;132,00;0,00;;
frcl3;Copa Santa;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frcl4;Copa Santa MG;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frse21;Corton Grand Cru;11;0,00;0,00;0,00;0,00;0,00;0,00;;
itca8;Cozzo del Pellegrino/Ferrocinte Greco Barrigue 2011;11;80,00;38,70;144,00;0,00;144,00;0,00;;
itla3;Crema Carciofi e Aglio;21;30,00;17,15;144,00;0,00;144,00;0,00;;
itla4;Crema Peperoni;21;30,00;17,27;216,00;0,00;216,00;0,00;;
frpf1;Cremant Alsace;15;68,00;0,00;0,00;0,00;0,00;0,00;;
frpf2;Cremant Alsace Rose;15;88,00;0,00;0,00;0,00;0,00;0,00;;
spvi10;Cubo 2009 Tempranillo La Mancha;11;42,00;0,00;0,00;0,00;0,00;0,00;;
øsmu5;Diana;11;108,00;64,49;78,00;0,00;78,00;0,00;;
spiw3;DO Bullas - Lavia 2006 90 Parker;11;60,00;0,00;0,00;0,00;0,00;0,00;;
frro1;Dom. Gravegeal d'Oc;11;0,00;18,50;0,00;0,00;0,00;0,00;;
frjo1;Dom. Jonquieres 2001;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frjo3;Dom. Jonquieres 2003;11;0,00;0,00;0,00;0,00;0,00;0,00;;
sydo6;Dombeya Cabernet Sauvignon;12;78,00;0,00;0,00;0,00;0,00;0,00;;
sydo2;Dombeya Chardonnay;12;86,00;0,00;0,00;0,00;0,00;0,00;;
sydo3;Dombeya Merlot;12;78,00;41,25;270,00;0,00;270,00;0,00;;
sydo4;Dombeya Samara;12;86,00;44,61;0,00;0,00;0,00;0,00;;
sydo1;Dombeya Sauvignon;12;60,00;29,63;204,00;0,00;204,00;0,00;;
sydo5;Dombeya Shiraz;12;86,00;0,00;0,00;0,00;0,00;0,00;;
itto14;Dracula;11;48,00;15,23;19,00;0,00;19,00;0,00;;
itdu2;Duemani 2007;11;316,00;0,00;0,00;0,00;0,00;0,00;;
itdu9;Duemani 2009;11;420,00;270,00;18,00;0,00;18,00;0,00;;
itdu11;Duemani Altrovino 2008;11;156,00;90,00;108,00;0,00;108,00;0,00;;
itdu12;Duemani Altrovino 2009;11;156,00;90,00;36,00;0,00;36,00;0,00;;
itdu13;Duemani Altrovino 2010;11;156,00;90,00;102,00;0,00;102,00;0,00;;
itdu6;Duemani MG 2008;11;725,00;0,00;0,00;0,00;0,00;0,00;;
itdu10;Duemani MG 2009;11;1.000,00;0,00;0,00;0,00;0,00;0,00;;
øsmu11;Eiswein;11;145,00;86,17;48,00;0,00;48,00;0,00;;
